종목명,개인,외국인,기관계,기관,,,,,,,기타법인
KODEX 은선물(H),+222,-63,-165,-166,+1,,,,,,+2
KODEX 은행,-2650,-107,+3163,+2116,,,-1515,,,+2562,-397
KODEX 인버스,+10336,-2384,-7960,-8142,,+153,+20,,,+10,+10
KODEX 일본TOPIX100,-6,,+6,-2,+7,,,,,,
KODEX 자동차,+1291,+28,-1433,-56,,,+1796,,-3463,+290,+113
KODEX 종합채권(AA-이상)액티브,-25,-1,-229,-408,+92,+87,,,,,+255
KODEX 중국본토 A50,-19,+2,+17,+17,,,,,,,
KODEX 중국본토CSI300,-96,,+97,-65,+72,,+91,,,,
KODEX 증권,-53,-3,+64,+80,,,-16,,,,-9
KODEX 철강,+550,,-545,-545,,,,,,,-30
KODEX 최소변동성,,,,,,,,,,,
KODEX 코스닥150롱코스피200숏선물,-1,,+1,+1,,,,,,,
KODEX 코스닥150선물인버스,+10526,-267,-9905,-10651,,+40,+438,,,+269,-256
KODEX 코스피100,,,,-19,+29,-10,,,,,
KODEX 코스피,-60,-10,+70,-79,+64,,+108,,,-22,
KODEX 코스피TR,,,,,,,,,,,
KODEX 코스피대형주,,,,,,,,,,,
KODEX 콩선물(H),-21,-23,+46,+46,,,,,,,-2
KODEX 퀄리티Plus,,,,,,,,,,,
KODEX 필수소비재,-49,,+49,+49,,,,,,,
KODEX 한국대만IT프리미어,-201,,+205,-867,,,+1072,,,,
KODEX 헬스케어,+378,,-399,-378,,,-21,,,,+21
KOSEF 200TR,+8,+1,-9,-14,,+6,,,,,
KOSEF 200,+2,-19,+17,-1330,,+1347,,,,,
KOSEF 200선물인버스,,,,,,,,,,,
KOSEF Fn중소형,-14,,+14,+12,,+1,,,,,
KOSEF KRX100,,,,,,,,,,,
KOSEF 국고채10년,+52,+1,-55,+306,-361,,,,,,
KOSEF 국고채3년,,,,,,,,,,,
KOSEF 단기자금,-237,,+237,+237,,,,,,,
KOSEF 미국달러선물,-41,,+41,-9,,,+49,,,,
KOSEF 미국달러선물인버스,-2,,+2,-1,,+3,,,,,
KOSEF 블루칩,-4,,+4,+3,,+1,,,,,
KOSEF 인도Nifty50(합성),+13,-2,-11,-52,,,+41,,,,
KOSEF 코스닥150선물인버스,,,,,,,,,,,
KOSEF 코스닥150,+10,,-7,-7,,,,,,,
KOSEF 코스피100,,,,-2,,+2,,,,,
KOSEF 통안채1년,-83,,+83,-924,,+1007,,,,,
KPX케미칼,+26,-40,+17,+18,,-1,,,,,-2
KPX홀딩스,+48,-46,+18,+14,,,,,,+3,-20
KT&G,-67,-1291,+1568,+1064,+635,+362,+9,,-550,+49,-203
KTB투자증권,-508,+399,+108,,,+108,,,,,+1
LG상사,+801,-152,-639,+48,-3,-352,,,-334,+1,
LG유플러스,-600,+1189,-319,+464,-12,+26,+14,,-858,+47,-821
LF,+358,-54,-300,+280,-158,,-7,+95,-509,,-4
LS네트웍스,+5,-5,-1,,,,,-1,,,+2
LS,+135,-779,+877,+64,+315,-102,,+48,+588,-36,-31
LG하우시스,+1117,-547,-574,+63,-239,-198,,,-270,+70,+1
LG,-4554,+4131,+140,-2324,-322,+294,,+31,-1116,+3577,+265
LG디스플레이,-40721,+29015,+12807,-440,+930,+5790,,+47,+5619,+862,-726
LG이노텍,-3446,+759,+2643,+28,-51,-516,,+45,+3671,-535,+15
LG생활건강,-76532,+67295,+9532,+2446,-612,+1674,+173,+119,+4744,+989,-5
LG생활건강우,-7016,+3604,+3384,+1,-2,+1624,,,+1761,+1,+52
LG우,+1475,-1469,+1,+40,,,,-38,,,-7
LG전자,-14023,+12261,+1065,+2949,-627,-299,,+128,-910,-177,+363
LG전자우,-24,-341,+369,+374,-2,-4,,,,,+1
LG화학우,+906,-924,+354,+47,-1,-15,,,+77,+246,-330
LG화학,-21300,-6210,+29991,+10830,+10280,+319,+39,+488,+3605,+4430,-2282
LIG넥스원,+673,+334,-1155,-127,-1,+142,,+50,-1257,+37,+175
LS ELECTRIC,+2480,+628,-2958,+10,-62,-63,-27,+31,-2846,,-149
NH투자증권우,+22,+162,-73,+24,,-106,,,-8,+18,
NH투자증권,-4993,+2472,+2538,+243,-1,+1468,,-11,+742,+98,+31
OCI,-10555,+3113,+7087,+3939,+1216,+294,,+86,+4454,-2901,+192
POSCO,-8160,+2736,+5184,+460,+297,-902,-44,+106,+5042,+225,+162
QV S&P500 VIX S/T 선물 ETN B,,,,,,,,,,,
SBS,+370,,+272,-175,-182,+150,,,+472,+7,-657
SGC에너지,+66,-800,+707,+210,+16,+136,,,+297,+49,+27
SK가스,-20,-41,+62,+35,-1,+28,,,,,-1
SK디스커버리우,+14,-6,,,,,,,,,
SK디스커버리,-66,+312,-231,-1,-81,-127,,,-23,,-14
SK이노베이션우,+216,+199,-210,-102,,-78,,,-30,,-178
SK이노베이션,-29351,+31868,-2380,-5478,+3312,+5997,-217,+49,-7779,+1735,+57
SK케미칼,-1507,-1316,+3202,+26,+366,+118,,,+2692,,-305
SKC,-2747,-1131,+3923,+1295,+187,+555,-37,,+2048,-124,-19
SK케미칼우,+23,+41,,,,,,,,,-62
SK하이닉스,+101839,-48215,-54619,-26736,-6192,-8433,-264,+116,+3783,-16893,+1525
SMART 200TR,,,,-15,,+15,,,,,
SMART KIS단기통안채,,,,,,,,,,,
SMART KRX300,,,,-7,,+7,,,,,
SNT모티브,+2707,-2288,-392,-76,-1,+3,-5,,-313,,-26
SPC삼립,-10,-9,+9,+12,,-3,,,-1,+1,+10
TIGER 200 IT,-391,-54,+444,-3135,,+241,+4535,,-1198,,
TIGER 200 건설,+144,,-254,-2671,,,+2418,,,,+111
TIGER 200 경기소비재,+13,,-13,-13,,,,,,,
TIGER 200 에너지화학,-67,,+9,-181,,+190,,,,,+58
TIGER 200 중공업,-52,,+52,-2329,,,+42,,+2338,,
TIGER 200,-999,+2617,-1617,+1582,-1390,-1432,,,-182,-195,-2
TIGER 200 헬스케어,-42,+6,+36,+36,,,,,,,
TIGER 200 금융,+1,+1,-4,-4,,,,,,,
TIGER 200TR,-5,-1,+5,-22,,,+27,,,,
TIGER 200커뮤니케이션서비스,-1,,+1,+1,,,,,,,
TIGER 2차전지테마,-1093,-419,+1443,+1314,,+2,+277,,,-149,+70
TIGER CD금리투자KIS(합성),-6,,+6,+56,,,,,-50,,
TIGER KIS부동산인프라채권TR,+6,,-177,-420,,,,,,+243,+171
TIGER KRX BBIG K-뉴딜,-395,-18,+409,-476,,,+885,,,,
TIGER KRX2차전지K-뉴딜,-2755,-1,+2830,+238,,+76,+1332,,+1184,,-47
TIGER KRX300,,,,,,,,,,,
TIGER KRX게임K-뉴딜,+10,,-10,-11,,,,,,,
TIGER KRX바이오K-뉴딜,+119,+39,-158,-169,,,+11,,,,
TIGER KRX인터넷K-뉴딜,+67,,-67,-67,,,,,,,
TIGER KTOP30,,,,,,,,,,,
TIGER LG그룹+펀더멘털,-265,,+266,+198,,,+68,,,,
TIGER MSCI KOREA ESG유니버설,+1,,-1,-1,,,,,,,
TIGER MSCI Korea TR,-14,,+14,+14,,,,,,,
TIGER S&P글로벌헬스케어(합성),+4,,-4,+16,,,-20,,,,
TIGER TOP10,+128,,+186,-1948,-178,-590,+2902,,,,-307
TIGER 가격조정,,,,-61,,+61,,,,,
TIGER 경기방어채권혼합,,,,+18,,,-18,,,,
TIGER 경기방어,-3,,+3,+102,,,-98,,,,
TIGER 골드선물(H),+85,,-85,-122,,+37,,,,,
TIGER 구리실물,-33,,+35,+16,,,+19,,,,-2
TIGER 국채3년,+17,,-17,-17,,,,,,,
TIGER 글로벌4차산업혁신기술(합성 H),-132,+1,+130,+19,,+8,+104,,,,+1
TIGER 글로벌자원생산기업(합성 H),-3,,+3,+3,,,,,,,
TIGER 금은선물(H),+72,-41,-31,-31,,,,,,,
TIGER 농산물선물Enhanced(H),-316,+37,+273,+299,,,,-26,,,+5
TIGER 단기선진하이일드(합성 H),+1,,-1,,,,,,,,
TIGER 단기채권액티브,+28,,-28,-28,,,,,,,
TIGER 단기통안채,-10,,+9,+9,,,,,,,
TIGER 대형가치,,,,,,,,,,,
TIGER 대형성장,-1,,+1,+1,,,,,,,
TIGER 라틴35,-8,,+8,+8,,,,,,,
TIGER 로우볼,+6,,-6,-63,-4,+61,,,,,
TIGER 모멘텀,-2,,+2,-12,,+67,-52,,,,
TIGER 미국MSCI리츠(합성 H),+94,-145,+51,,+15,+35,,,,,
TIGER 미국S&P500,+1869,,-1898,-1063,,-935,+99,,,,+1
TIGER 미국S&P500선물인버스(H),+125,,-125,-125,,,,,,,
TIGER 미국S&P500선물(H),-220,-1,+220,-841,,+107,+955,,,,
TIGER 미국나스닥100,+2667,-1,-2671,-3359,+235,-4,+457,,,,-3
TIGER 미국나스닥바이오,-38,,+36,+47,,,-11,,,,
TIGER 미국다우존스30,+141,-4,-138,-138,,,,,,,
TIGER 미국달러단기채권액티브,-15,,+6,+6,,,,,,,+10
TIGER 미국채10년선물,+45,-1,-92,-146,,+54,,,,,+46
TIGER 미디어컨텐츠,-50,+3,+14,-28,,,+38,,,+3,
TIGER 반도체,-160,+83,+363,-206,+488,+19,+62,,,,-285
TIGER 방송통신,+8,,-8,-8,,,,,,,
TIGER 배당성장,-12,,+12,-18,,+30,,,,,
TIGER 베타플러스,,,,,,,,,,,
TIGER 부동산인프라고배당,+353,+3,-311,-895,,,+465,,,+120,-57
TIGER 삼성그룹펀더멘털,+32,,-32,-158,,,+126,,,,
TIGER 소프트웨어,-681,+41,+630,+100,,+1,+319,,,+210,
TIGER 여행레저,+141,,-131,-136,,,+5,,,,-10
TIGER 우량가치,+13,,-13,-35,,+34,,,,-12,
TIGER 우선주,+10,,-10,-10,,,,,,,
TIGER 원유선물Enhanced(H),-226,,+264,+264,,,,,,,
TIGER 유로스탁스50(합성 H),+9,,-8,-18,,+5,+1,,,+5,
TIGER 유로스탁스배당30,+19,,-49,-49,,,,,,,
TIGER 의료기기,-38,,+48,+48,,,,,,,
TIGER 인버스,+21,,-21,-210,,+189,,,,,
TIGER 일본TOPIX(합성 H),,,,,,,,,,,
TIGER 일본니케이225,+3,,-3,-3,,,,,,,
TIGER 일본엔선물,+7,,-7,-7,,,,,,,
TIGER 중국소비테마,+24,-2,-22,-74,,,+51,,,,
TIGER 중소형성장,-9,,+9,+9,,,,,,,
TIGER 중장기국채,-4,,+4,+6,,,-2,,,,
TIGER 증권,+32,,-32,-32,,,,,,,
TIGER 차이나CSI300인버스(합성),+5,,-5,-5,,,,,,,
TIGER 차이나CSI300,-442,+670,-285,-285,,,,,,,+59
TIGER 차이나HSCEI,-10,,+10,+10,,,,,,,
TIGER 차이나전기차SOLACTIVE,-1554,-164,+1740,+1007,,,+733,,,,
TIGER 차이나항셍25,-1,,+1,+1,,,,,,,
TIGER 코스닥150IT,-26,,+26,-234,,,+259,,,,
TIGER 코스닥150바이오테크,-14,,+14,+14,,,,,,,
TIGER 코스닥150,-177,-9,+186,-577,,+530,-68,,,+302,
TIGER 코스닥150선물인버스,+196,+131,-327,-111,,,,,,-216,
TIGER 코스피고배당,+93,,-93,-68,,+22,-33,,,-14,
TIGER 코스피,,+1,-1,-1,,,,,,,
TIGER 코스피대형주,-11,,+11,+11,,,,,,,
TIGER 코스피중형주,+2,,-2,-2,,,,,,,
TIGER 헬스케어,-8,+27,-20,+501,,,+419,,,-940,
TIGER 현대차그룹+펀더멘털,-183,,+151,-382,,,+24,,,+509,+30
TIGER 화장품,-99,,+99,+99,,,,,,,
가온전선,-24,+28,,,,,,,,,-3
경동인베스트,-103,+80,+13,+10,,,,,,+3,+10
경인전자,-1,+1,-1,-1,,,,,,,
계룡건설,-170,+200,+4,+3,,,,,,+1,-33
고려아연,-10172,-2321,+11410,+6319,+30,+2269,-94,+112,+4001,-1226,+999
광주신세계,+55,-55,,,,,,,,,
교보증권,-15,+1,+3,+3,,,,,,,+11
국도화학,+74,+744,+59,+109,-587,+282,,+77,+282,-104,-825
금 99.99K,+3900,,+1061,+851,,,+210,,,,-4962
금비,-52,+63,-11,-11,,,,,,,
금호건설,+187,-14,-175,+9,,-183,,,,,-11
금호석유,+14469,-11615,-8525,+1287,+2969,-1537,,+19,-7795,-3467,+5394
기아,+171064,-107953,-60524,-8921,-5367,-12703,-1077,+81,-23733,-8804,-1173
기업은행,-6624,+8241,-460,+22,-5,+11,,-45,-277,-167,-1150
남광토건,+172,-172,,,,,,,,,
남양유업,+57,-38,-16,+7,-23,,,,,,-1
녹십자,-2378,+2024,+228,+304,+416,-26,,,-1824,+1358,+89
농심홀딩스,-17,+7,+10,-1,,+11,,,,,
농심,+3629,-1257,-2467,-40,-339,-1857,+25,,-256,+1,+62
대신증권2우B,+61,+204,-6,,,,,,,-6,-245
대신증권우,+748,+118,-14,+15,,,,-24,,-5,-853
대신증권,-3020,+1105,+2053,+66,+102,+1258,,,-27,+653,+111
대우건설,-651,-42,+231,+286,-8,-209,,,+1418,-1255,+460
대우조선해양,+177,-370,+320,+120,+120,+60,,,+9,+10,-145
대한유화,+3125,-3380,+272,+839,+243,+377,,,-371,-816,+31
대한제분,-23,+32,-10,-5,,-3,-2,,,,+1
대한항공,+3830,-1272,-2491,-296,-5,+37,,,-2226,,-38
대한항공우,+6,-6,,,,,,,,,
대한화섬,+18,-3,-15,,,,-15,,,,
동국제강,-16725,+9145,+7106,+430,-9,+3623,,,+1265,+1797,+495
동부건설,+71,-118,+9,+9,,,,,,,+9
동아쏘시오홀딩스,+400,-1433,+1251,-140,+21,+331,,+50,+989,,-176
동아에스티,-478,+397,+40,+27,,+64,+65,-111,-49,+44,+8
동양고속,-12,+12,,,,,,,,,
동양생명,-225,+225,+1,+6,,,,,-5,,+1
동원F&B,-259,-35,+287,+97,-1,+1,,,-63,+252,+7
동원산업,-72,-41,+91,+4,-1,+64,,,,+24,+21
동원수산,+37,-47,+13,+11,,,,,,+2,-3
동원시스템즈,+384,-12,-374,+60,-1,+2,,,-435,,+4
동일산업,+16,-3,-12,-4,,,-8,,,,-2
